test_id,node,test_category,test_description,test,result,failure_reason
235,s1-leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.1,PASS,
236,s1-leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.2,PASS,
237,s1-leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.1,PASS,
238,s1-leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.2,PASS,
239,s1-leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.1,PASS,
240,s1-leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.2,PASS,
241,s1-leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.1,PASS,
242,s1-leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.2,PASS,
243,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.7,PASS,
244,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.8,PASS,
245,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.3,PASS,
246,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.4,PASS,
247,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.5,PASS,
248,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.6,PASS,
249,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.7,PASS,
250,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.8,PASS,
251,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.3,PASS,
252,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.4,PASS,
253,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.5,PASS,
254,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.6,PASS,
255,s1-brdr1,Routing Table,Remote VTEP address,10.255.1.7,PASS,
256,s1-brdr1,Routing Table,Remote VTEP address,10.255.1.3,PASS,
257,s1-brdr1,Routing Table,Remote VTEP address,10.255.1.5,PASS,
258,s1-brdr2,Routing Table,Remote VTEP address,10.255.1.7,PASS,
259,s1-brdr2,Routing Table,Remote VTEP address,10.255.1.3,PASS,
260,s1-brdr2,Routing Table,Remote VTEP address,10.255.1.5,PASS,
261,s1-leaf1,Routing Table,Remote VTEP address,10.255.1.7,PASS,
262,s1-leaf1,Routing Table,Remote VTEP address,10.255.1.3,PASS,
263,s1-leaf1,Routing Table,Remote VTEP address,10.255.1.5,PASS,
264,s1-leaf2,Routing Table,Remote VTEP address,10.255.1.7,PASS,
265,s1-leaf2,Routing Table,Remote VTEP address,10.255.1.3,PASS,
266,s1-leaf2,Routing Table,Remote VTEP address,10.255.1.5,PASS,
267,s1-leaf3,Routing Table,Remote VTEP address,10.255.1.7,PASS,
268,s1-leaf3,Routing Table,Remote VTEP address,10.255.1.3,PASS,
269,s1-leaf3,Routing Table,Remote VTEP address,10.255.1.5,PASS,
270,s1-leaf4,Routing Table,Remote VTEP address,10.255.1.7,PASS,
271,s1-leaf4,Routing Table,Remote VTEP address,10.255.1.3,PASS,
272,s1-leaf4,Routing Table,Remote VTEP address,10.255.1.5,PASS,
273,s1-brdr1,Routing Table,Remote Lo0 address,10.250.1.7,PASS,
274,s1-brdr1,Routing Table,Remote Lo0 address,10.250.1.8,PASS,
275,s1-brdr1,Routing Table,Remote Lo0 address,10.250.1.3,PASS,
276,s1-brdr1,Routing Table,Remote Lo0 address,10.250.1.4,PASS,
277,s1-brdr1,Routing Table,Remote Lo0 address,10.250.1.5,PASS,
278,s1-brdr1,Routing Table,Remote Lo0 address,10.250.1.6,PASS,
279,s1-brdr1,Routing Table,Remote Lo0 address,10.250.1.1,PASS,
280,s1-brdr1,Routing Table,Remote Lo0 address,10.250.1.2,PASS,
281,s1-brdr2,Routing Table,Remote Lo0 address,10.250.1.7,PASS,
282,s1-brdr2,Routing Table,Remote Lo0 address,10.250.1.8,PASS,
283,s1-brdr2,Routing Table,Remote Lo0 address,10.250.1.3,PASS,
284,s1-brdr2,Routing Table,Remote Lo0 address,10.250.1.4,PASS,
285,s1-brdr2,Routing Table,Remote Lo0 address,10.250.1.5,PASS,
286,s1-brdr2,Routing Table,Remote Lo0 address,10.250.1.6,PASS,
287,s1-brdr2,Routing Table,Remote Lo0 address,10.250.1.1,PASS,
288,s1-brdr2,Routing Table,Remote Lo0 address,10.250.1.2,PASS,
289,s1-leaf1,Routing Table,Remote Lo0 address,10.250.1.7,PASS,
290,s1-leaf1,Routing Table,Remote Lo0 address,10.250.1.8,PASS,
291,s1-leaf1,Routing Table,Remote Lo0 address,10.250.1.3,PASS,
292,s1-leaf1,Routing Table,Remote Lo0 address,10.250.1.4,PASS,
293,s1-leaf1,Routing Table,Remote Lo0 address,10.250.1.5,PASS,
294,s1-leaf1,Routing Table,Remote Lo0 address,10.250.1.6,PASS,
295,s1-leaf1,Routing Table,Remote Lo0 address,10.250.1.1,PASS,
296,s1-leaf1,Routing Table,Remote Lo0 address,10.250.1.2,PASS,
297,s1-leaf2,Routing Table,Remote Lo0 address,10.250.1.7,PASS,
298,s1-leaf2,Routing Table,Remote Lo0 address,10.250.1.8,PASS,
299,s1-leaf2,Routing Table,Remote Lo0 address,10.250.1.3,PASS,
300,s1-leaf2,Routing Table,Remote Lo0 address,10.250.1.4,PASS,
301,s1-leaf2,Routing Table,Remote Lo0 address,10.250.1.5,PASS,
302,s1-leaf2,Routing Table,Remote Lo0 address,10.250.1.6,PASS,
303,s1-leaf2,Routing Table,Remote Lo0 address,10.250.1.1,PASS,
304,s1-leaf2,Routing Table,Remote Lo0 address,10.250.1.2,PASS,
305,s1-leaf3,Routing Table,Remote Lo0 address,10.250.1.7,PASS,
306,s1-leaf3,Routing Table,Remote Lo0 address,10.250.1.8,PASS,
307,s1-leaf3,Routing Table,Remote Lo0 address,10.250.1.3,PASS,
308,s1-leaf3,Routing Table,Remote Lo0 address,10.250.1.4,PASS,
309,s1-leaf3,Routing Table,Remote Lo0 address,10.250.1.5,PASS,
310,s1-leaf3,Routing Table,Remote Lo0 address,10.250.1.6,PASS,
311,s1-leaf3,Routing Table,Remote Lo0 address,10.250.1.1,PASS,
312,s1-leaf3,Routing Table,Remote Lo0 address,10.250.1.2,PASS,
313,s1-leaf4,Routing Table,Remote Lo0 address,10.250.1.7,PASS,
314,s1-leaf4,Routing Table,Remote Lo0 address,10.250.1.8,PASS,
315,s1-leaf4,Routing Table,Remote Lo0 address,10.250.1.3,PASS,
316,s1-leaf4,Routing Table,Remote Lo0 address,10.250.1.4,PASS,
317,s1-leaf4,Routing Table,Remote Lo0 address,10.250.1.5,PASS,
318,s1-leaf4,Routing Table,Remote Lo0 address,10.250.1.6,PASS,
319,s1-leaf4,Routing Table,Remote Lo0 address,10.250.1.1,PASS,
320,s1-leaf4,Routing Table,Remote Lo0 address,10.250.1.2,PASS,
321,s1-brdr1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr1 - 10.250.1.7 Destination: 10.250.1.7,PASS,
322,s1-brdr1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr1 - 10.250.1.7 Destination: 10.250.1.8,PASS,
323,s1-brdr1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr1 - 10.250.1.7 Destination: 10.250.1.3,PASS,
324,s1-brdr1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr1 - 10.250.1.7 Destination: 10.250.1.4,PASS,
325,s1-brdr1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr1 - 10.250.1.7 Destination: 10.250.1.5,PASS,
326,s1-brdr1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr1 - 10.250.1.7 Destination: 10.250.1.6,PASS,
327,s1-brdr1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr1 - 10.250.1.7 Destination: 10.250.1.1,PASS,
328,s1-brdr1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr1 - 10.250.1.7 Destination: 10.250.1.2,PASS,
329,s1-brdr2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr2 - 10.250.1.8 Destination: 10.250.1.7,PASS,
330,s1-brdr2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr2 - 10.250.1.8 Destination: 10.250.1.8,PASS,
331,s1-brdr2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr2 - 10.250.1.8 Destination: 10.250.1.3,PASS,
332,s1-brdr2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr2 - 10.250.1.8 Destination: 10.250.1.4,PASS,
333,s1-brdr2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr2 - 10.250.1.8 Destination: 10.250.1.5,PASS,
334,s1-brdr2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr2 - 10.250.1.8 Destination: 10.250.1.6,PASS,
335,s1-brdr2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr2 - 10.250.1.8 Destination: 10.250.1.1,PASS,
336,s1-brdr2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-brdr2 - 10.250.1.8 Destination: 10.250.1.2,PASS,
337,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 10.250.1.3 Destination: 10.250.1.7,PASS,
338,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 10.250.1.3 Destination: 10.250.1.8,PASS,
339,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 10.250.1.3 Destination: 10.250.1.3,PASS,
340,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 10.250.1.3 Destination: 10.250.1.4,PASS,
341,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 10.250.1.3 Destination: 10.250.1.5,PASS,
342,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 10.250.1.3 Destination: 10.250.1.6,PASS,
343,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 10.250.1.3 Destination: 10.250.1.1,PASS,
344,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 10.250.1.3 Destination: 10.250.1.2,PASS,
345,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 10.250.1.4 Destination: 10.250.1.7,PASS,
346,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 10.250.1.4 Destination: 10.250.1.8,PASS,
347,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 10.250.1.4 Destination: 10.250.1.3,PASS,
348,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 10.250.1.4 Destination: 10.250.1.4,PASS,
349,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 10.250.1.4 Destination: 10.250.1.5,PASS,
350,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 10.250.1.4 Destination: 10.250.1.6,PASS,
351,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 10.250.1.4 Destination: 10.250.1.1,PASS,
352,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 10.250.1.4 Destination: 10.250.1.2,PASS,
353,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 10.250.1.5 Destination: 10.250.1.7,PASS,
354,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 10.250.1.5 Destination: 10.250.1.8,PASS,
355,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 10.250.1.5 Destination: 10.250.1.3,PASS,
356,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 10.250.1.5 Destination: 10.250.1.4,PASS,
357,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 10.250.1.5 Destination: 10.250.1.5,PASS,
358,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 10.250.1.5 Destination: 10.250.1.6,PASS,
359,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 10.250.1.5 Destination: 10.250.1.1,PASS,
360,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 10.250.1.5 Destination: 10.250.1.2,PASS,
361,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 10.250.1.6 Destination: 10.250.1.7,PASS,
362,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 10.250.1.6 Destination: 10.250.1.8,PASS,
363,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 10.250.1.6 Destination: 10.250.1.3,PASS,
364,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 10.250.1.6 Destination: 10.250.1.4,PASS,
365,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 10.250.1.6 Destination: 10.250.1.5,PASS,
366,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 10.250.1.6 Destination: 10.250.1.6,PASS,
367,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 10.250.1.6 Destination: 10.250.1.1,PASS,
368,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 10.250.1.6 Destination: 10.250.1.2,PASS,
